,INPUT,OUTPUT,IN_PACKETS,IN_OCTETS,TCP_FLAGS,PROTO,TOS,SRC_AS,DST_AS,SRC_MASK,DST_MASK
345,8,0,1,65,0,17,0,0,0,0,0
346,8,0,1,65,0,17,0,0,0,0,0
347,0,8,1,65,0,17,0,0,0,0,0
348,0,8,1,65,0,17,0,0,0,0,0
349,8,0,1,63,0,17,0,0,0,0,0
350,0,8,1,63,0,17,0,0,0,0,0
351,0,8,1,91,0,17,192,0,0,0,0
352,8,0,1,63,0,17,0,0,0,0,0
353,0,8,1,63,0,17,0,0,0,0,0
354,0,8,1,93,0,17,192,0,0,0,0
355,8,0,4,220,2,6,0,0,0,0,0
356,0,8,1,93,0,17,192,0,0,0,0
357,0,8,1,91,0,17,192,0,0,0,0
358,0,8,1,93,0,17,192,0,0,0,0
359,8,0,1,65,0,17,0,0,0,0,0
360,0,8,1,65,0,17,0,0,0,0,0
361,8,0,1,65,0,17,0,0,0,0,0
362,0,8,1,65,0,17,0,0,0,0,0
363,0,8,1,90,0,17,192,0,0,0,0
364,0,8,1,91,0,17,192,0,0,0,0
365,8,0,1,63,0,17,0,0,0,0,0
366,8,0,1,63,0,17,0,0,0,0,0
367,0,8,1,63,0,17,0,0,0,0,0
368,0,8,1,63,0,17,0,0,0,0,0
369,0,8,1,80,212,6,192,0,0,0,0
370,0,8,1,159,0,17,192,0,0,0,0
371,0,8,1,91,0,17,192,0,0,0,0
372,0,8,1,91,0,17,192,0,0,0,0
373,0,8,1,91,0,17,192,0,0,0,0
374,0,8,1,91,0,17,192,0,0,0,0
375,0,8,3,273,0,17,192,0,0,0,0
376,0,8,3,273,0,17,192,0,0,0,0
377,8,0,1,63,0,17,0,0,0,0,0
378,8,0,1,63,0,17,0,0,0,0,0
379,0,8,1,63,0,17,0,0,0,0,0
380,0,8,1,63,0,17,0,0,0,0,0
381,8,0,1,63,0,17,0,0,0,0,0
382,8,0,1,63,0,17,0,0,0,0,0
383,0,8,1,63,0,17,0,0,0,0,0
384,0,8,1,63,0,17,0,0,0,0,0
385,0,8,1,91,0,17,192,0,0,0,0
386,0,8,1,91,0,17,192,0,0,0,0
387,0,8,1,91,0,17,192,0,0,0,0
388,0,8,1,92,116,6,192,0,0,0,0
389,8,0,1,72,0,17,0,0,0,0,0
390,0,8,1,128,0,17,0,0,0,0,0
391,8,0,1,72,0,17,0,0,0,0,0
392,0,8,1,72,0,17,0,0,0,0,0
393,0,8,1,100,0,17,192,0,0,0,0
